URL,Title,SKU,Country,Area,Body,Size,Feels Like,Finish,Colour,Warranty,Edging,Images
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-wet-cement-natural-18947,Stratos Wet Cement Natural,MAXFL153,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,600 x 600mm,Fine Grain Cement,Matt,Light Brown,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl153.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-mocca-natural-18949,Stratos Mocca Natural,MAXFL7090,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 600mm,Fine Grain Cement,Matt,Mocca,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7090.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7090-stratos_mocca_natural_300x600_4.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-dark-grey-natural,Stratos Dark Grey Natural,MAXFL1051,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Fine Grain Cement,Matt,Dark Grey,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1051.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-limestone-natural,Stratos Limestone Natural,MAXFL1041,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Fine Grain Cement,Matt,Ivory,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1041.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1041_002_1.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-bianco-natural,Stratos Bianco Natural,MAXFL122,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Fine Grain Cement,Matt,Beige,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl122.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-wet-cement-natural,Stratos Wet Cement Natural,MAXFL134,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Fine Grain Cement,Matt,Light Brown,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl134.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl134_5.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-light-grey-natural,Stratos Light Grey Natural,MAXFL7031,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Fine Grain Cement,Matt,Light Grey,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7031.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-mocca-natural,Stratos Mocca Natural,MAXFL7076,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Fine Grain Cement,Matt,Mocca,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7076.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-light-grey-natural-18933,Stratos Light Grey Natural,MAXFL1028,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Fine Grain Cement,Matt,Light Grey,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1028.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1028_light_grey_4.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-nero-natural,Stratos Nero Natural,MAXFL1037,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 600mm,Fine Grain Cement,Matt,Black,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/t/stratos_nero_natural_rename.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1037.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-19008,Stratos Limestone Natural,MAXFL1042,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 600mm,Fine Grain Cement,Matt,Ivory,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1042_2.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1042_16.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-dark-grey-natural-18934,Stratos Dark Grey Natural,MAXFL1052,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 600mm,Fine Grain Cement,Matt,Dark Grey,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/a/dark_grey_natural_rename.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1052.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-bianco-natural-18937,Stratos Bianco Natural,MAXFL125,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 600mm,Fine Grain Cement,Matt,Beige,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl125.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl125-_bianco_002.jpg"
